libxcb-cursor-dev/stable,now 0.1.1-4 amd64 [installed]
libxcb-icccm4-dev/stable,now 0.4.1-1.1 amd64 [installed]
libxcb-keysyms1-dev/stable,now 0.4.0-1+b2 amd64 [installed]
libxcb-randr0-dev/stable,now 1.13.1-2 amd64 [installed]
libxcb-shape0-dev/stable,now 1.13.1-2 amd64 [installed]
libxcb-util0-dev/stable,now 0.3.8-3+b2 amd64 [installed]
libxcb-xinerama0-dev/stable,now 1.13.1-2 amd64 [installed]
libxcb-xkb-dev/stable,now 1.13.1-2 amd64 [installed]
libxcb-xrm-dev/stable,now 1.0-3 amd64 [installed]
libxkbcommon-dev/stable,now 0.8.2-1 amd64 [installed]
libxkbcommon-x11-dev/stable,now 0.8.2-1 amd64 [installed]
libxtables12/stable,now 1.8.2-4 amd64 [installed]
libyajl-dev/stable,now 2.1.0-3 amd64 [installed]
libzstd1/stable,now 1.3.8+dfsg-3 amd64 [installed]
linux-headers-amd64/stable,now 4.19+105 amd64 [installed]
linux-image-amd64/stable,now 4.19+105 amd64 [installed]
lm-sensors/stable,now 1:3.5.0-3 amd64 [installed]
locales/stable,now 2.28-10 all [installed]
locate/stable,now 4.6.0+git+20190209-2 amd64 [installed]
login/stable,now 1:4.5-1.1 amd64 [installed]
logrotate/stable,now 3.14.0-4 amd64 [installed]
lsb-base/stable,now 10.2019051400 all [installed]
lsof/stable,now 4.91+dfsg-1 amd64 [installed]
man-db/stable,now 2.8.5-2 amd64 [installed]
manpages/stable,now 4.16-2 all [installed]
mawk/stable,now 1.3.3-17+b3 amd64 [installed]
meson/stable,now 0.49.2-1 all [installed]
mount/stable,now 2.33.1-0.1 amd64 [installed]
nano/stable,now 3.2-3 amd64 [installed]
nasm/stable,now 2.14-1 amd64 [installed]
ncurses-base/stable,now 6.1+20181013-2 all [installed]
ncurses-bin/stable,now 6.1+20181013-2 amd64 [installed]
ncurses-term/stable,now 6.1+20181013-2 all [installed]
neofetch/stable,now 6.0.0-2 all [installed]
netbase/stable,now 5.6 all [installed]
netcat-traditional/stable,now 1.10-41.1 amd64 [installed]
nvidia-settings-legacy-390xx/stable,now 390.116-1 amd64 [installed]
okular/stable,now 4:17.12.2-2.2 amd64 [installed]
openssh-client/stable,now 1:7.9p1-10 amd64 [installed]
passwd/stable,now 1:4.5-1.1 amd64 [installed]
pavucontrol/stable,now 3.0-4 amd64 [installed]
pciutils/stable,now 1:3.5.2-1 amd64 [installed]
perl-base/stable,now 5.28.1-6 amd64 [installed]
perl-modules-5.28/stable,now 5.28.1-6 all [installed]
perl/stable,now 5.28.1-6 amd64 [installed]
pkg-config/stable,now 0.29-6 amd64 [installed]
pommed/stable,now 1.39~dfsg-5 amd64 [installed]
poppler-utils/stable,now 0.71.0-5 amd64 [installed]
procps/stable,now 2:3.3.15-2 amd64 [installed]
python-minimal/stable,now 2.7.16-1 amd64 [installed]
python2.7/stable,now 2.7.16-2 amd64 [installed]
python3-pip/stable,now 18.1-5 all [installed]
python3-reportbug/stable,now 7.5.2 all [installed]
python/stable,now 2.7.16-1 amd64 [installed]
readline-common/stable,now 7.0-5 all [installed]
reportbug/stable,now 7.5.2 all [installed]
rsyslog/stable,now 8.1901.0-1 amd64 [installed]
scrot/stable,now 0.9-1 amd64 [installed]
sed/stable,now 4.7-1 amd64 [installed]
sensible-utils/stable,now 0.0.12 all [installed]
shim-signed/stable,now 1.33+15+1533136590.3beb971-7 amd64 [installed]
spotify-client/stable,now 1:1.1.10.546.ge08ef575-19 amd64 [installed]
sudo/stable,now 1.8.27-1 amd64 [installed]
system-config-printer/stable,now 1.5.11-4 all [installed]
systemd-sysv/stable,now 241-5 amd64 [installed]
systemd/stable,now 241-5 amd64 [installed]
sysvinit-utils/stable,now 2.93-8 amd64 [installed]
tar/stable,now 1.30+dfsg-6 amd64 [installed]
task-english/stable,now 3.53 all [installed]
task-laptop/stable,now 3.53 all [installed]
task-print-server/stable,now 3.53 all [installed]
tasksel-data/stable,now 3.53 all [installed]
tasksel/stable,now 3.53 all [installed]
telnet/stable,now 0.17-41.2 amd64 [installed]
